author,title,doi,article_type,lang,pdf_url,keywords,review_url,code_url,volume,issue,year
"['Koustuv Sinha', 'Jesse Dodge', 'Sasha Luccioni', 'Jessica Zosa Forde', 'Sharath Chandra Raparthy', 'Joelle Pineau', 'Robert Stojnic']",ML Reproducibility Challenge 2021,10.5281/zenodo.6574723,Editorial,Python,https://zenodo.org/record/6574723/files/article.pdf,rescience c machine learning deep learning python pytorch,,,8,2,2022
"['Ankit Ankit', 'Sameer Ambekar', 'Baradwaj Varadharajan', 'Mark Alence']",[Re] Counterfactual Generative Networks,10.5281/zenodo.6574625,Replication,Python,https://zenodo.org/record/6574625/files/article.pdf,rescience c machine learning deep learning python pytorc deep generative models counterfactuals,https://openreview.net/forum?id=BSHg22G7n0F,https://github.com/ambekarsameer96/FACT_AI/,8,2,2022
"['Arjun Ashok', 'Haswanth Aekula']",[Re] Does Self-Supervision Always Improve Few-Shot Learning?,10.5281/zenodo.6574629,Replication,Python,https://zenodo.org/record/6574629/files/article.pdf,rescience c machine learning deep learning python pytorch few-shot learning self-supervised learning,https://openreview.net/forum?id=ScfP3G73CY,https://github.com/ashok-arjun/MLRC-2021-Few-Shot-Learning-And-Self-Supervision/,8,2,2022
"['Ioannis Athanasiadis', 'Georgios Moschovis', 'Alexander Tuoma']",[Re] Weakly-Supervised Semantic Segmentation via Transformer Explainability,10.5281/zenodo.6574631,Replication,Python,https://zenodo.org/record/6574631/files/article.pdf,rescience c machine learning deep learning python pytorch,https://openreview.net/forum?id=rcEDhGX3AY,https://github.com/athaioan/ViT_Affinity_Reproducibility_Challenge,8,2,2022
"['Piyush Bagad', 'Paul Hilders', 'Jesse Maas', 'Danilo de Goede']",[Re] Reproducibility Study of “Counterfactual Generative Networks”,10.5281/zenodo.6574635,Replication,Python,https://zenodo.org/record/6574635/files/article.pdf,rescience c machine learning python pytorch deep generative models counterfactuals,https://openreview.net/forum?id=HNlzT3G720t,https://github.com/danilodegoede/fact-team3/,8,2,2022
"['Sarah de Boer', 'Radu Alexandru Cosma', 'Lukas Knobel', 'Yeskendir Koishekenov', 'Benjamin Shaffrey']",[Re] Data-Driven Methods for Balancing Fairness and Efficiency in Ride-Pooling,10.5281/zenodo.6574637,Replication,Python,https://zenodo.org/record/6574637/files/article.pdf,rescience c ride-pooling fairness LSTM ILP resource allocation matching algorithms reinforcement learning machine learning deep learning python pytorch,https://openreview.net/forum?id=BE3Ms3GXhCF,https://github.com/reproducibilityaccount/reproducing-ridesharing,8,2,2022
"['Matteo Brivio', 'Çağrı Çöltekin']",[¬Re] Hate Speech Detection based on Sentiment Knowledge Sharing,10.5281/zenodo.6574639,Replication,Python,https://zenodo.org/record/6574639/files/article.pdf,rescience c machine learning deep learning python tensorflow NLP hate speech sentiment,https://openreview.net/forum?id=SSSGs3M7nRY,https://github.com/matteobrv/repro-SKS,8,2,2022
"['Maarten Burger', 'Kaya ter Burg', 'Sam Titarsolej', 'Selina Jasmin Khan']",[Re] Reproducibility Study - SCOUTER: Slot Attention-based Classifier for Explainable Image Recognition,10.5281/zenodo.6574641,Replication,Python,https://zenodo.org/record/6574641/files/article.pdf,rescience c machine learning deep learning SCOUTER XAI Explainable AI Interpretable Reproducibility Attention Self-attention Computer Vision python pytorch,https://openreview.net/forum?id=HZNlq3fmhRF,https://github.com/kayatb/reproduce_SCOUTER,8,2,2022
"['Anirudh Buvanesh', 'Madhur Panwar']",[Re] AdaBelief Optimizer: Adapting Stepsizes by the Belief in Observed Gradients,10.5281/zenodo.6574643,Replication,Python,https://zenodo.org/record/6574643/files/article.pdf,rescience c machine learning optimizers image classification language modelling generative adversarial networks,https://openreview.net/forum?id=B9gDnMmn0t,https://github.com/anirudhb11/Adabelief-Optimizer-RC,8,2,2022
"['Vishnu Asutosh Dasu', 'Midhush Manohar T.K.']",[Re] GANSpace: Discovering Interpretable GAN Controls,10.5281/zenodo.6574645,Replication,Python,https://zenodo.org/record/6574645/files/article.pdf,rescience c machine learning deep learning python tensorflow numpy gans image synthesis,https://openreview.net/forum?id=BtZVD2f7n0F,https://github.com/midsterx/ReGANSpace,8,2,2022
